ClientName        , ContactEmail            , TransactionDate, CalculatedTotal, SourceReference
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1565.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1566.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1567.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1568.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1569.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1570.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1571.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1572.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1573.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1574.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1575.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1576.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1577.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1578.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1579.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1580.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1581.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1582.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1583.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1584.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1585.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1586.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1587.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1588.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1589.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1590.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1591.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1592.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1593.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1594.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1595.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1596.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1597.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1598.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1599.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1600.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 50-99)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1601.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1602.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1603.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1604.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1605.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1606.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1607.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1608.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1609.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1610.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1611.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1612.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1613.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1614.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1615.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1616.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1617.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1618.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1619.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1620.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1621.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1622.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1623.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1624.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1625.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1626.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1627.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1628.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1629.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1630.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1631.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1632.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1633.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1634.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1635.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1636.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1637.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1638.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1639.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1640.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1641.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1642.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1643.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1644.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1645.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1646.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1647.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1648.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1649.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1650.0 , TITAN_PAYLOAD_200_PAGES.pdf (Pgs 100-149)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1651.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1652.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1653.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1654.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1655.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1656.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1657.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1658.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1659.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1660.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1661.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1662.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1663.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1664.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1665.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1666.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1667.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1668.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1669.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1670.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1671.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1672.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1673.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1674.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1675.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1676.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1677.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1678.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1679.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1680.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1681.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1682.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1683.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1684.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1685.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1686.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1687.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1688.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1689.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1690.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1691.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1692.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1693.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1694.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1695.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1696.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1697.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1698.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1699.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
Shadow Entity Corp, billing@shadowentity.com, 21/07/2026     ,         1700.00, TITAN_PAYLOAD_200_PAGES.pdf (Pgs 150-199)
